          #Command	mpirun_-np_2_-ppn=2_-env_I_MPI_DEBUG_5_-genv_I_MPI_PIN_PROCESSOR_LIST_0,2_./IMB-MPI1_PingPong_-msglog_28
           #Nodes	ct1pg-gnode001.hpc	ct1pg-gnode003.hpc	
       #Estimation                  lambda =-141.724              bandwidth = 5113.12
            #bytes              #repetitions                  #t[usec]               #Mbytes/sec         #t[usec] computed    #Mbytes/sec (computed)
                 2                      1000                       0.3                      6.78                  -141.724                 -0.014112
                 4                      1000                       0.3                     13.55                  -141.723                 -0.028224
                 8                      1000                      0.29                     27.45                  -141.722                -0.0564484
                16                      1000                      0.29                     54.79                  -141.721                 -0.112898
                32                      1000                       0.3                    106.49                  -141.718                 -0.225801
                64                      1000                       0.3                    211.92                  -141.711                 -0.451622
               128                      1000                       0.3                    421.65                  -141.699                 -0.903324
               256                      1000                      0.32                    797.59                  -141.674                  -1.80697
               512                      1000                      0.57                    896.54                  -141.624                  -3.61521
              1024                      1000                      0.61                   1674.09                  -141.524                  -7.23554
              2048                      1000                      0.76                    2709.8                  -141.323                  -14.4916
              4096                      1000                      0.98                   4171.25                  -140.923                  -29.0655
              8192                      1000                      1.49                   5498.85                  -140.122                  -58.4634
             16384                      1000                       2.4                   6833.07                   -138.52                  -118.279
             32768                      1000                      3.58                   9140.73                  -135.315                   -242.16
             65536                       640                      5.85                   11200.9                  -128.907                  -508.399
            131072                       320                      8.88                   14763.2                   -116.09                  -1129.06
            262144                       160                     15.45                   16972.2                  -90.4551                  -2898.06
            524288                        80                     43.15                   12150.2                  -39.1862                  -13379.4
       1.04858e+06                        40                     83.78                   12516.1                   63.3515                   16551.7
       2.09715e+06                        20                    167.29                   12536.3                   268.427                   7812.75
        4.1943e+06                        10                    403.76                   10388.2                   678.578                   6181.02
       8.38861e+06                         5                   1037.91                   8082.24                   1498.88                   5596.59
       1.67772e+07                         2                   2130.68                   7874.12                   3139.48                   5343.94
       3.35544e+07                         1                   6029.04                   5565.47                   6420.69                   5225.99
       6.71089e+07                         1                   12493.3                   5371.58                   12983.1                   5168.94
       1.34218e+08                         1                   25866.8                   5188.79                   26107.9                   5140.88
       2.68435e+08                         1                   52731.6                    5090.6                   52357.6                   5126.96
          #Command	mpirun_-np_2_-ppn=2_-env_I_MPI_DEBUG_5_-genv_I_MPI_PIN_PROCESSOR_LIST_0,1_./IMB-MPI1_PingPong_-msglog_28
           #Nodes	ct1pg-gnode001.hpc	ct1pg-gnode003.hpc	
       #Estimation                  lambda =-110.03              bandwidth = 4276.66
            #bytes              #repetitions                  #t[usec]               #Mbytes/sec         #t[usec] computed    #Mbytes/sec (computed)
                 2                      1000                      0.48                      4.17                  -110.029                 -0.018177
                 4                      1000                      0.47                      8.51                  -110.029                -0.0363542
                 8                      1000                      0.48                      16.7                  -110.028                 -0.072709
                16                      1000                      0.48                     33.62                  -110.026                  -0.14542
                32                      1000                      0.51                     62.89                  -110.022                 -0.290851
                64                      1000                       0.5                    126.76                  -110.015                 -0.581741
               128                      1000                       0.6                    213.35                      -110                  -1.16364
               256                      1000                      0.64                    400.09                   -109.97                  -2.32791
               512                      1000                      0.93                    550.03                   -109.91                  -4.65836
              1024                      1000                      0.98                   1040.02                   -109.79                  -9.32689
              2048                      1000                      1.12                   1831.04                  -109.551                  -18.6945
              4096                      1000                      1.61                   2547.86                  -109.072                  -37.5533
              8192                      1000                      2.03                   4032.26                  -108.114                  -75.7719
             16384                      1000                      3.58                   4582.47                  -106.199                  -154.277
             32768                      1000                      5.28                   6202.74                  -102.367                  -320.102
             65536                       640                      9.16                    7156.5                  -94.7054                  -691.998
            131072                       320                      15.2                   8623.16                  -79.3813                  -1651.17
            262144                       160                     27.87                   9405.97                  -48.7331                  -5379.18
            524288                        80                     68.86                   7614.38                   12.5634                   41731.4
       1.04858e+06                        40                    132.51                   7913.04                   135.156                   7758.25
       2.09715e+06                        20                    257.77                   8135.73                   380.342                   5513.86
        4.1943e+06                        10                    511.46                    8200.6                   870.714                   4817.09
       8.38861e+06                         5                   1038.32                   8078.98                   1851.46                   4530.81
       1.67772e+07                         2                   2365.67                   7091.96                   3812.94                   4400.07
       3.35544e+07                         1                   7931.65                   4230.45                   7735.92                   4337.49
       6.71089e+07                         1                   15883.1                   4225.18                   15581.9                   4306.86
       1.34218e+08                         1                   31752.5                   4226.99                   31273.8                    4291.7
       2.68435e+08                         1                   62440.6                   4299.06                   62657.5                   4284.17
          #Command	mpirun_-np_2_-rr_-env_I_MPI_DEBUG_5_./IMB-MPI1_PingPong_-msglog_28
           #Nodes	ct1pg-gnode001.hpc	ct1pg-gnode003.hpc	
       #Estimation                  lambda =-115.022              bandwidth = 4364.7
            #bytes              #repetitions                  #t[usec]               #Mbytes/sec         #t[usec] computed    #Mbytes/sec (computed)
                 2                      1000                      0.47                      4.24                  -115.022                 -0.017388
                 4                      1000                      0.47                      8.49                  -115.021                -0.0347762
                 8                      1000                      0.47                     16.93                   -115.02                 -0.069553
                16                      1000                      0.47                     34.03                  -115.018                 -0.139108
                32                      1000                       0.5                     64.11                  -115.015                 -0.278225
                64                      1000                       0.5                    128.74                  -115.007                 -0.556486
               128                      1000                      0.58                    219.07                  -114.993                  -1.11311
               256                      1000                      0.62                    409.99                  -114.963                   -2.2268
               512                      1000                      0.97                    525.44                  -114.905                  -4.45587
              1024                      1000                      1.01                   1008.93                  -114.787                  -8.92084
              2048                      1000                      1.17                   1748.42                  -114.553                  -17.8782
              4096                      1000                      1.55                   2651.07                  -114.084                  -35.9035
              8192                      1000                      2.12                      3864                  -113.145                  -72.4026
             16384                      1000                      3.46                   4729.46                  -111.268                  -147.248
             32768                      1000                      5.34                   6132.37                  -107.515                  -304.777
             65536                       640                      9.09                   7206.66                  -100.007                  -655.314
            131072                       320                     15.08                   8690.87                   -84.992                  -1542.17
            262144                       160                     27.45                   9551.12                  -54.9619                  -4769.56
            524288                        80                     66.84                   7844.27                   5.09816                    102839
       1.04858e+06                        40                    129.72                   8083.38                   125.218                   8373.98
       2.09715e+06                        20                    249.73                   8397.74                   365.459                   5738.41
        4.1943e+06                        10                    497.07                      8438                   845.939                   4958.16
       8.38861e+06                         5                   1015.91                   8257.24                    1806.9                   4642.54
       1.67772e+07                         2                   2235.39                   7505.27                   3728.82                   4499.33
       3.35544e+07                         1                   7775.48                   4315.42                   7572.67                   4430.99
       6.71089e+07                         1                   15516.3                   4325.05                   15260.4                   4397.59
       1.34218e+08                         1                   30971.1                   4333.65                   30635.7                   4381.08
       2.68435e+08                         1                   61253.6                   4382.36                   61386.5                   4372.87
          #Command	mpirun_-np_2_-env_I_MPI_DEBUG_5_-genv_I_MPI_PIN_PROCESSOR_LIST_0,2_-genv_I_MPI_FABRICS_shm:tcp_./IMB-MPI1_PingPong_-msglog_28
           #Nodes	ct1pg-gnode001.hpc	ct1pg-gnode003.hpc	
       #Estimation                  lambda =-138.31              bandwidth = 5115.84
            #bytes              #repetitions                  #t[usec]               #Mbytes/sec         #t[usec] computed    #Mbytes/sec (computed)
                 2                      1000                      0.29                      6.82                   -138.31                -0.0144603
                 4                      1000                      0.29                     13.61                  -138.309                -0.0289207
                 8                      1000                      0.29                     27.24                  -138.309                -0.0578417
                16                      1000                      0.29                     54.93                  -138.307                 -0.115685
                32                      1000                       0.3                    106.73                  -138.304                 -0.231375
                64                      1000                       0.3                    214.07                  -138.298                  -0.46277
               128                      1000                       0.3                    425.34                  -138.285                 -0.925624
               256                      1000                      0.32                    804.52                   -138.26                  -1.85158
               512                      1000                      0.56                    915.67                   -138.21                  -3.70451
              1024                      1000                       0.6                   1702.01                   -138.11                  -7.41438
              2048                      1000                      0.74                   2782.57                   -137.91                  -14.8503
              4096                      1000                      0.97                   4203.03                  -137.509                   -29.787
              8192                      1000                      1.47                   5569.02                  -136.709                   -59.923
             16384                      1000                      2.39                   6847.67                  -135.108                  -121.266
             32768                      1000                      3.61                   9076.26                  -131.905                  -248.421
             65536                       640                      5.83                   11235.5                    -125.5                    -522.2
            131072                       320                      8.77                   14952.7                  -112.689                  -1163.13
            262144                       160                     15.68                   16717.3                  -87.0685                  -3010.78
